time,ax,ay,az,aT
2.572000,0.0238,0.0453,0.6524,0.654
2.577000,0.0245,0.0325,0.6927,0.694
2.596000,0.0407,0.0321,0.6615,0.664
2.599000,0.0421,0.0275,0.7133,0.715
2.599000,0.0617,0.0283,0.7159,0.719
2.603000,0.0655,0.0299,0.7005,0.704
2.607000,0.0831,0.0185,0.7489,0.754
2.613000,0.0776,0.0370,0.7315,0.737
2.618000,0.0466,0.0441,0.7000,0.703
2.622000,0.0600,-0.0011,0.7212,0.724
2.627000,0.0253,-0.0022,0.7565,0.757
2.633000,0.0181,0.0010,0.6789,0.679
2.636000,0.0114,-0.0003,0.7134,0.714
2.643000,0.0363,-0.0182,0.7373,0.738
2.647000,0.0166,-0.0425,0.7191,0.721
2.652000,0.0666,-0.0558,0.6986,0.704
2.657000,0.0430,-0.0242,0.7091,0.711
2.663000,0.0505,0.0004,0.7665,0.768
2.667000,0.0246,-0.0305,0.7264,0.727
2.671000,0.0604,-0.0271,0.7329,0.736
2.677000,0.0701,-0.0603,0.7095,0.716
2.684000,0.0017,-0.0435,0.7399,0.741
2.686000,-0.0316,-0.0145,0.7754,0.776
2.692000,-0.0148,0.0064,0.6814,0.682
2.704000,0.0010,-0.0076,0.7239,0.724
2.705000,-0.0099,-0.0144,0.8255,0.826
2.706000,0.0098,-0.0022,0.7094,0.710
2.715000,-0.0006,-0.0657,0.8068,0.810
2.717000,-0.0062,-0.0286,0.6740,0.675
2.724000,0.0023,0.0063,0.7760,0.776
2.726000,-0.0238,0.0402,0.7133,0.715
2.732000,0.0287,0.0104,0.7949,0.795
2.736000,0.0454,0.0317,0.6709,0.673
2.740000,0.0368,0.0281,0.8049,0.806
2.747000,0.0693,0.0516,0.6681,0.674
